Name,Source,Type,Rarity,Power,Attune-Requirement,Attune,Cursed,Ibs,Use,Proficiency-Tools,Quality-1,Quality-2,Quality-3,No-of-Mat,Mat-Base-Price,Mat-Total-Cost,Labor-Cost,Enchant-Cost,Resale-Normal,Total-Cost,Description
Breastplate of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Cast-Off Breastplate,XGE 136,Armor,Common,Minor,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Chain Mail,XGE 136,Armor,Common,Minor,,FALSE,FALSE,55.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Chain Shirt,XGE 136,Armor,Common,Minor,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Half Plate Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,40.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Hide Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,12.00,Permanent,Leatherworkers-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Leather Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,10.00,Permanent,Leatherworkers-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Padded Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,8.00,Permanent,Weavers-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Plate Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,65.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Scale Mail,XGE 136,Armor,Common,Minor,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Spiked Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Splint Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,60.00,Permanent,Smiths-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Cast-Off Studded Leather Armor,XGE 136,Armor,Common,Minor,,FALSE,FALSE,13.00,Permanent,Leatherworkers-Tools,Dimensional ,,,7,20,140,33,2,88,175,You can doff this armor as an action.
Chain Mail of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,55.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Chain Shirt of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Half Plate Armor of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,40.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Hide Armor of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,12.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Plate Armor of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,65.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Ring Mail of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,40.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Scale Mail of Gleaming,XGE 136,Armor,Common,Minor,,FALSE,FALSE,45.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,This armor never gets dirty.
Shield of Expression,XGE 139,Armor,Common,Minor,,FALSE,FALSE,6.00,Permanent,Smiths-Tools,Mercurial ,,,7,20,140,33,2,88,175,"The front of this shield is shaped in the likeness of a face. While bearing the shield, you can use a bonus action to alter the faces expression."
Smoldering Breastplate,XGE 140,Armor,Common,Minor,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Chain Mail,XGE 140,Armor,Common,Minor,,FALSE,FALSE,55.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Chain Shirt,XGE 140,Armor,Common,Minor,,FALSE,FALSE,20.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
Smoldering Half Plate Armor,XGE 140,Armor,Common,Minor,,FALSE,FALSE,40.00,Permanent,Smiths-Tools,Phantasmal ,,,7,20,140,33,2,88,175,"Wisps of harmless, odorless smoke rise from this armor while it is worn."
