Item,Source,Type,Subtype,Subtype2,Proficiency,Shop-Type,Availability,Primary-Materials,Secondary-Materials,Add-On-Materials,lbs,Mat-Base-Price,Material-Cost,Labor-Cost,Resale- Value-Low,Resale-Value-High,Resale-Value-Normal,Cost-Low,Cost-High,Total-Cost,Text
Gunderson's Brew,HB,Foodstuffs,Drink,,Brewers-Supplies,Tavern,Premium-Access,Zurkhwood,,,-,200.00,200.00,50.00,75.00,150.00,100.00,200.00,350.00,250.00,"red, frothing head, ale, slipped that a special ingredient that only grows at the mountain. 

For 1 hour after drinking this delicious ale crafted by the dwarves of Gunderson Brewing Company, you gain 10 temporary hit points that last for 1 hour. For the same duration, you are under the effect of the bless spell (no concentration required)."
Amulet,PHB,Gear,Focus,Holy Symbol,Jewelers-Tools,Temple,All-Access,Mineral,Gem,"Dye, Textile",1.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"A holy symbol is a representation of a god or pantheon.

A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
Emblem,PHB,Gear,Focus,Holy Symbol,Smiths-Tools,Temple,All-Access,Metal,Dye,"Gem, Metal",-,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"A holy symbol is a representation of a god or pantheon.

A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
Reliquary,PHB,Gear,Focus,Holy Symbol,Tinkers-Tools,Temple,All-Access,Metal,,"Dye, Gem, Textile",2.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"A container, usually elaborate, in which its purpose is to hold holy relics

A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
Sprig of Mistletoe,PHB,Gear,Focus,,Herbalism-Kit,Temple,All-Access,Plant,,,-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,A druid can use this object as a spellcasting focus.
Staff,PHB,Gear,Focus,,Woodcarvers-Tools,Temple,All-Access,Wood,,"Dye, Gem, Leather, Metal, Mineral, Textile",4.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Totem,PHB,Gear,Focus,,Woodcarvers-Tools,Temple,All-Access,"Bone, Wood",,"Dye, Gem, Mineral",-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,A druid can use this object as a spellcasting focus.
Wand,PHB,Gear,Focus,,By-Material,Temple,Town-Access,"Bone, Mineral, Wood",,"Dye, Gem, Hide, Mineral, Textile",1.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Wooden Staff,PHB,Gear,Focus,,Woodcarvers-Tools,Temple,All-Access,Wood,,"Dye, Gem, Metal, Mineral",4.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,A druid can use a Wooden Staff as a spellcasting focus
Yew Wand,PHB,Gear,Focus,,Woodcarvers-Tools,Temple,Town-Access,Wood,,"Dye, Gem, Hide, Textile",1.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,A druid can use this object as a spellcasting focus.
Holy Water (Flask),PHB,Gear,Holy,,,Temple,Town-Access,"Fluid, Flask",,"Flesh, Gem, Metal ,Mineral, Plant",1.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.

A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot."
Chain Mail,PHB,Armor,Heavy,,Smiths-Tools,Blacksmith,City-Access,Metal,"Hide, Textile","Dye, Gem",55.00,6.00,48.00,12.00,18.00,36.00,24.00,60.00,105.00,75.00,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.

The wearer has disadvantage on Dexterity (Stealth) checks.

If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
