'acid splash ': {'conjuration', '60 ft', 'instantaneous', 'cantrip', '1 action', },
'blade ward ': {'cantrip', 'self', '1 action', '1 round', 'abjuration', },
'booming blade ': {'self (5 ft)', 'cantrip', '1 action', 'evocation', '1 round', },
'chill touch ': {'120 ft', 'cantrip', 'necromancy', '1 action', '1 round', },
'control flames ': {'60 ft', 'instantaneous', 'cantrip', '1 action', 'transmutation', },
'create bonfire ': {'conjuration', '60 ft', '1 minute', 'cantrip', '1 action', },
'dancing lights ': {'120 ft', '1 minute', 'cantrip', '1 action', 'evocation', },
'druidcraft ': {'instantaneous', '30 ft', 'cantrip', '1 action', 'transmutation', },
'eldritch blast ': {'120 ft', 'instantaneous', 'cantrip', '1 action', 'evocation', },
'fire bolt ': {'120 ft', 'instantaneous', 'cantrip', '1 action', 'evocation', },
'friends ': {'1 minute', 'cantrip', 'enchantment', 'self', '1 action', },
'frostbite ': {'60 ft', 'instantaneous', 'cantrip', '1 action', 'evocation', },
'green-flame blade': {'instantaneous', 'self (5 ft)', 'cantrip', '1 action', 'evocation', },
'guidance ': {'1 minute', 'cantrip', '1 action', 'touch', 'divination', },
'gust ': {'instantaneous', '30 ft', 'cantrip', '1 action', 'transmutation', },
'infestation ': {'conjuration', 'instantaneous', '30 ft', 'cantrip', '1 action', },
'light ': {'evocation', 'cantrip', '1 action', '1 hour', 'touch', },
'lightning lure ': {'instantaneous', 'cantrip', 'self (15 ft)', '1 action', 'evocation', },
'mage hand ': {'conjuration', '30 ft', 'cantrip', '1 minute', '1 action', },
'magic stone ': {'1 bonus action', '1 minute', 'cantrip', 'transmutation', 'touch', },
'mending ': {'instantaneous', '1 minute', 'cantrip', 'transmutation', 'touch', },
'message ': {'120 ft', 'cantrip', '1 action', 'transmutation', '1 round', },
'mind sliver': {'60 ft', 'instantaneous', 'cantrip', 'enchantment', '1 action', },
'minor illusion ': {'30 ft', 'cantrip', '1 minute', 'illusion', '1 action', },
'mold earth ': {'instantaneous', '30 ft', 'cantrip', '1 action', 'transmutation', },
'poison spray ': {'conjuration', 'instantaneous', 'cantrip', '10 ft', '1 action', },
'prestidigitation ': {'cantrip', '10 ft', '1 action', 'transmutation', '1 hour', },
'primal savagery ': {'instantaneous', 'cantrip', 'self', '1 action', 'transmutation', },
'produce flame ': {'conjuration', '10 minutes', 'cantrip', 'self', '1 action', },
'ray of frost ': {'60 ft', 'instantaneous', 'cantrip', '1 action', 'evocation', },
'resistance ': {'1 minute', 'cantrip', '1 action', 'touch', 'abjuration', },
'sacred flame ': {'60 ft', 'instantaneous', 'cantrip', '1 action', 'evocation', },
'shape water ': {'instantaneous', '30 ft', 'cantrip', '1 action', 'transmutation', },
'shillelagh ': {'1 bonus action', '1 minute', 'cantrip', 'transmutation', 'touch', },
'shocking grasp ': {'evocation', 'instantaneous', 'cantrip', '1 action', 'touch', },
'spare the dying ': {'instantaneous', 'cantrip', 'necromancy', '1 action', 'touch', },
'sword burst ': {'conjuration', 'instantaneous', 'self (5 ft)', 'cantrip', '1 action', },
'thaumaturgy ': {'30 ft', 'cantrip', '1 minute', '1 action', 'transmutation', },
'thorn whip ': {'instantaneous', '30 ft', 'cantrip', '1 action', 'transmutation', },
'thunderclap ': {'instantaneous', 'cantrip', '5 ft', '1 action', 'evocation', },
'toll the dead ': {'60 ft', 'instantaneous', 'cantrip', 'necromancy', '1 action', },
'true strike ': {'30 ft', 'cantrip', '1 action', '1 round', 'divination', },
'vicious mockery ': {'60 ft', 'instantaneous', 'cantrip', 'enchantment', '1 action', },
'word of radiance ': {'instantaneous', 'cantrip', '5 ft', '1 action', 'evocation', },
'absorb elements ': {'1st level', '1 reaction *', 'self', '1 round', 'abjuration', },
'alarm ': {'8 hours', '1st level', '1 minute', '30 ft', 'abjuration', },
'animal friendship ': {'1st level', '30 ft', 'enchantment', '1 action', '24 hours', },
'armor of agathys ': {'1st level', 'self', '1 action', '1 hour', 'abjuration', },
'arms of hadar ': {'conjuration', '1st level', 'instantaneous', 'self', '1 action', },
'bane ': {'1st level', '30 ft', 'enchantment', '1 minute', '1 action', },
'beast bond ': {'10 minutes', '1st level', '1 action', 'touch', 'divination', },
'bless ': {'1st level', '30 ft', 'enchantment', '1 minute', '1 action', },
'burning hands ': {'1st level', 'instantaneous', 'self', '1 action', 'evocation', },
'catapult ': {'60 ft', '1st level', 'instantaneous', '1 action', 'transmutation', },
'cause fear ': {'60 ft', '1st level', '1 minute', 'necromancy', '1 action', },
'ceremony ': {'1st level', 'instantaneous', '1 hour', 'touch', 'abjuration', },
'chaos bolt ': {'120 ft', '1st level', 'instantaneous', '1 action', 'evocation', },
'charm person ': {'1st level', '30 ft', 'enchantment', '1 action', '1 hour', },
'chromatic orb ': {'1st level', 'instantaneous', '90 ft', '1 action', 'evocation', },
'color spray ': {'1st level', 'self', 'illusion', '1 action', '1 round', },
'command ': {'60 ft', '1st level', 'enchantment', '1 action', '1 round', },
'compelled duel ': {'1 bonus action', '1st level', '30 ft', 'enchantment', '1 minute', },
'comprehend languages ': {'1st level', 'self', '1 action', '1 hour', 'divination', },
'create or destroy water ': {'1st level', 'instantaneous', '30 ft', '1 action', 'transmutation', },
'cure wounds ': {'evocation', '1st level', 'instantaneous', '1 action', 'touch', },
'detect evil and good ': {'10 minutes', '1st level', 'self', '1 action', 'divination', },
'detect magic ': {'10 minutes', '1st level', 'self', '1 action', 'divination', },
